name,speed_km_h,miss_distance_km,diameter_min_km,diameter_max_km,is_hazardous
(2019 MH1),70955.3080969747,16104645.421950433,0.0303777061,0.0679266159,False
(2019 SU3),45832.7189795602,53070029.62954242,0.0093444765,0.0208948847,False
(2021 LC7),86173.0390796357,19427701.848585993,0.1363185559,0.3048175575,False
(2022 YL5),27734.9763209721,16627005.10098419,0.0385971268,0.0863057993,False
(2023 XU2),56245.2023272982,4241557.53358007,0.0239086457,0.0534613571,False
(2025 KS),33737.8158811969,20393207.503871724,0.058986819,0.1318985371,False
(2025 MA),32943.6941250172,1008174.932153284,0.0142480351,0.031859575,False
(2025 MB),27488.0090434542,134974.453810695,0.003047579,0.0068145939,False
(2025 MD),33240.5005872734,8571459.68537439,0.0398065901,0.0890102414,False
(2025 MA2),49956.502390861,10041530.068821423,0.0476381598,0.1065221636,False
